Flow_Name,Flow_Key,Metal,Delta_g_Total,Delta_g_Metal,Metal_Fraction,CF_Metal,CF_Total,grade_source
"Pt, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0%, Cu 3.2E+0% in ore, in ground","('ecoinvent-3.4-biosphere', '3250f566-58bc-46d3-ab88-1d2e23ca3e1b')",Cu,1.3498092685059653e-14,2.1450069719831437e-15,0.032,3.939978666672029e-16,2.479348455018202e-15,parsed_crude_ore_multi
"Copper, Cu 0.2%, in mixed ore, in ground","('ecoinvent-3.4-biosphere', '704399e3-cf6b-483d-84f5-466e91a9d17c')",Cu,4.502088711003008e-15,4.502088711003008e-15,0.002,2.462486666670018e-17,2.462486666670018e-17,parsed_crude_ore_multi
"Silver, 0.007% in sulfide, Ag 0.004%, Pb, Zn, Cd, In, in ground","('ecoinvent-3.4-biosphere', 'c15f6c4d-bf7a-4a7c-91c6-53aad6a630a8')",Ag,4.115476778147008e-15,4.115476778147008e-15,4e-05,6.280784264150202e-18,6.280784264150202e-18,parsed_crude_ore_multi
"Pt, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Ni 3.7E-2%, Cu 5.2E-2% in ore, in ground","('ecoinvent-3.4-biosphere', '636a8446-9899-43a6-b4bf-213f25d69c88')",Ni,3.641676419712744e-15,3.058045590692734e-15,0.00037,3.354694424738564e-17,3.9949409580727685e-17,parsed_crude_ore_multi
"Pt, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Ni 3.7E-2%, Cu 5.2E-2% in ore, in ground","('ecoinvent-3.4-biosphere', '636a8446-9899-43a6-b4bf-213f25d69c88')",Cu,3.641676419712744e-15,5.836308290200098e-16,0.00052,6.402465333342046e-18,3.9949409580727685e-17,parsed_crude_ore_multi
"Silver, Ag 9.7E-4%, in mixed ore, in ground","('ecoinvent-3.4-biosphere', 'cfaa80f4-8e19-4fd6-942a-eaea14812896')",Ag,1.967919663863914e-15,1.967919663863914e-15,9.7e-06,1.5230901840564239e-18,1.5230901840564239e-18,parsed_crude_ore_multi
"Pd, Pd 2.0E-4%, Pt 4.8E-4%, Rh 2.4E-5%, Ni 3.7E-2%, Cu 5.2E-2% in ore, in ground","('ecoinvent-3.4-biosphere', '4b8ac2cb-3fa6-4047-a9ab-183d9e63ccac')",Ni,1.5475915280040136e-15,1.2995678097010642e-15,0.00037,3.354694424738564e-17,3.9949409580727685e-17,parsed_crude_ore_multi
"Pd, Pd 2.0E-4%, Pt 4.8E-4%, Rh 2.4E-5%, Ni 3.7E-2%, Cu 5.2E-2% in ore, in ground","('ecoinvent-3.4-biosphere', '4b8ac2cb-3fa6-4047-a9ab-183d9e63ccac')",Cu,1.5475915280040136e-15,2.480237183029492e-16,0.00052,6.402465333342046e-18,3.9949409580727685e-17,parsed_crude_ore_multi
"Rh, Rh 2.0E-5%, Pt 2.5E-4%, Pd 7.3E-4%, Ni 2.3E+0%, Cu 3.2E+0% in ore, in ground","('ecoinvent-3.4-biosphere', '7005a356-23d8-4d38-9dbc-fa75401b400e')",Ni,1.0779052508128966e-15,9.066133259404247e-16,0.023,2.0853505883509992e-15,2.479348455018202e-15,parsed_crude_ore_multi
"Rh, Rh 2.0E-5%, Pt 2.5E-4%, Pd 7.3E-4%, Ni 2.3E+0%, Cu 3.2E+0% in ore, in ground","('ecoinvent-3.4-biosphere', '7005a356-23d8-4d38-9dbc-fa75401b400e')",Cu,1.0779052508128966e-15,1.7129192487247205e-16,0.032,3.939978666672029e-16,2.479348455018202e-15,parsed_crude_ore_multi
