flow,amount,categories,unit
Methanol,6925.627819481571,"('air',)",kilogram
Cumene,6845.964814137723,"('air', 'urban air close to ground')",kilogram
"Titanium, ion",6794.732041075081,"('water', 'ground-')",kilogram
Chromium VI,6671.9147988202685,"('air', 'non-urban air or from high stacks')",kilogram
"Nickel, ion",6470.552662967463,"('water', 'ocean')",kilogram
2-Propanol,6464.498481037647,"('air',)",kilogram
Chromium,6442.304562738987,"('air', 'urban air close to ground')",kilogram
Acrolein,6414.7481165383415,"('air',)",kilogram
Copper,6107.10194072575,"('soil', 'industrial')",kilogram
Benzaldehyde,6076.144131632883,"('air',)",kilogram
Carbonyl sulfide,6024.966030292057,"('air',)",kilogram
Strontium,5863.894628459888,"('soil', 'industrial')",kilogram
Tungsten,5675.571629621424,"('air', 'non-urban air or from high stacks')",kilogram
"Phenol, pentachloro-",5656.870431243666,"('air', 'non-urban air or from high stacks')",kilogram
m-Xylene,4967.027973910275,"('air',)",kilogram
Phenol,4820.673094143305,"('water',)",kilogram
Isocyanic acid,4755.5497188970185,"('air', 'urban air close to ground')",kilogram
Phosphorus,4633.233038896023,"('air', 'urban air close to ground')",kilogram
Antimony,4629.850833848818,"('air', 'urban air close to ground')",kilogram
"Ethane, 1,2-dichloro-",4556.0127138535145,"('air', 'urban air close to ground')",kilogram
"Benzene, ethyl-",4293.470496818463,"('water', 'ocean')",kilogram
"Methane, bromochlorodifluoro-, Halon 1211",4285.075590033287,"('air', 'non-urban air or from high stacks')",kilogram
"Chromium, ion",4107.249363408467,"('water',)",kilogram
Glyphosate,4094.18738899412,"('soil', 'industrial')",kilogram
"Aldehydes, unspecified",4043.325295179667,"('air', 'urban air close to ground')",kilogram
"Ethane, 1,1,1,2-tetrafluoro-, HFC-134a",3904.8124684256236,"('air', 'non-urban air or from high stacks')",kilogram
Monoethanolamine,3890.7469794462572,"('air', 'urban air close to ground')",kilogram
Nickel,3826.114470699141,"('soil', 'industrial')",kilogram
Arsenic,3798.193607621921,"('air',)",kilogram
Silicon,3744.576731762234,"('air',)",kilogram
2-Propanol,3616.710859648681,"('air', 'urban air close to ground')",kilogram
Antimony,3614.1775023126334,"('water',)",kilogram
Strontium,3557.5672665284937,"('air', 'urban air close to ground')",kilogram
Chromium,3490.4136278317033,"('soil', 'industrial')",kilogram
Lead,3470.602289351602,"('water', 'ground-')",kilogram
Sodium,3307.9076548658904,"('water', 'ground-')",kilogram
Beryllium,3213.4083222481445,"('air', 'urban air close to ground')",kilogram
Cyanide,3141.635434023074,"('water', 'ocean')",kilogram
