Flow_Name,Flow_Key,Metal,Delta_g_Total,Delta_g_Metal,Metal_Fraction,CF_Metal,CF_Total
Antimony,"('ecoinvent-3.4-biosphere', '34b96163-a3df-4bc1-8224-e2a9fe01b23f')",Sb,1.1463061814155824e-07,1.1463061814155824e-07,1.0,2.1834077210692158e-11,2.1834077210692158e-11
Antimony,"('ecoinvent-3.4-biosphere', '43b29ad9-26dd-4838-b931-6216e55a0120')",Sb,1.1463061814155824e-07,1.1463061814155824e-07,1.0,2.1834077210692158e-11,2.1834077210692158e-11
Antimony,"('ecoinvent-3.4-biosphere', '83cf77ca-867b-4eef-b0f0-78d71b3d91d5')",Sb,1.1463061814155824e-07,1.1463061814155824e-07,1.0,2.1834077210692158e-11,2.1834077210692158e-11
Antimony,"('ecoinvent-3.4-biosphere', 'b2dc8668-86de-4207-b20e-dc81dea63c98')",Sb,1.1463061814155824e-07,1.1463061814155824e-07,1.0,2.1834077210692158e-11,2.1834077210692158e-11
"Lithium, ion","('ecoinvent-3.4-biosphere', '09cf7c11-0269-4fc1-a5f3-47121a7882d3')",Li,1.1058328175938533e-07,1.1058328175938533e-07,1.0,1.5184934529957733e-13,1.5184934529957733e-13
"Lithium, ion","('ecoinvent-3.4-biosphere', 'cf88e72e-13bc-416c-ac41-7d4b24bda86a')",Li,1.1058328175938533e-07,1.1058328175938533e-07,1.0,1.5184934529957733e-13,1.5184934529957733e-13
"Lithium, ion","('ecoinvent-3.4-biosphere', 'e98084d6-88a2-48cf-9ad5-6462fe9cf857')",Li,1.1058328175938533e-07,1.1058328175938533e-07,1.0,1.5184934529957733e-13,1.5184934529957733e-13
"Lithium, ion","('ecoinvent-3.4-biosphere', 'c44b0e3b-e65e-4276-aa1f-3db768757b66')",Li,1.1058328175938533e-07,1.1058328175938533e-07,1.0,1.5184934529957733e-13,1.5184934529957733e-13
"Lithium, ion","('ecoinvent-3.4-biosphere', 'eb2bfdf1-1881-40e8-bebb-d674b2a79149')",Li,1.1058328175938533e-07,1.1058328175938533e-07,1.0,1.5184934529957733e-13,1.5184934529957733e-13
Chromium VI,"('ecoinvent-3.4-biosphere', 'c2e854f9-fe22-4fe7-9083-cf6d0a8c7254')",Cr,1.0612087019664253e-07,1.0612087019664253e-07,1.0,3.1278613038877847e-13,3.1278613038877847e-13
Chromium VI,"('ecoinvent-3.4-biosphere', 'abbd3b09-a7ec-435a-9d01-34cf8581739e')",Cr,1.0612087019664253e-07,1.0612087019664253e-07,1.0,3.1278613038877847e-13,3.1278613038877847e-13
Chromium VI,"('ecoinvent-3.4-biosphere', '58060894-19d9-4855-84d8-58935a5325f8')",Cr,1.0612087019664253e-07,1.0612087019664253e-07,1.0,3.1278613038877847e-13,3.1278613038877847e-13
Chromium VI,"('ecoinvent-3.4-biosphere', '8ec83662-7c2b-4452-8acf-95a0bb94233c')",Cr,1.0612087019664253e-07,1.0612087019664253e-07,1.0,3.1278613038877847e-13,3.1278613038877847e-13
